edad,sexo,altura,bmi,peso,h_sueno,c_sueno,n_estres,h_movil,t_pantalla,pasos,i_ejercicio,m_ejercicio,alim_enteros,alim_procesados,g_proteina,g_fibra,h_social,h_sol,l_agua,n_alcohol,t_meditacion,bienestar_fisico,bienestar_mental
54,1,1.8,22.0,71.2,7.0,3.6,7.1,7.8,8.6,10181,4,75,10.0,0.0,142.4,45.0,5.8,2.8,1.64,6.9,60.0,100.0,50.0
55,1,1.7,26.8,77.3,7.7,3.6,6.9,6.7,7.4,10326,4,76,8.2,1.5,126.4,36.8,5.0,2.9,2.22,1.8,60.0,78.72,3.33
47,1,1.65,18.3,49.9,6.8,3.8,6.1,7.8,8.6,14094,5,111,6.9,2.5,68.4,30.8,2.6,4.2,2.87,6.8,60.0,95.73,48.89
56,1,1.68,23.6,66.7,6.5,2.7,7.3,5.2,5.7,7660,3,52,4.8,4.1,64.5,21.8,7.2,2.0,3.43,2.3,60.0,77.06,8.89
41,1,1.61,25.3,65.6,5.5,2.7,7.5,5.3,5.8,7371,3,49,5.6,3.5,73.2,25.1,7.5,1.9,3.27,3.5,60.0,71.42,3.33
55,0,1.65,21.1,57.4,5.9,2.8,7.2,6.1,6.7,8789,3,62,6.1,3.1,70.2,27.5,4.4,2.4,3.16,3.7,60.0,55.38,91.11
62,1,1.74,23.1,70.1,5.9,3.5,7.4,7.9,8.7,7781,3,53,7.1,2.3,99.3,31.9,6.5,2.0,2.02,6.0,60.0,100.0,21.11
39,0,1.79,19.2,61.6,6.0,3.8,5.8,5.0,5.5,7422,3,50,6.2,3.0,76.3,27.9,1.8,1.9,2.64,0.3,60.0,77.15,10.0
46,1,1.66,29.6,81.6,5.0,2.7,7.5,4.0,4.4,7159,3,47,7.5,2.0,122.4,33.7,3.0,1.8,2.58,0.0,60.0,94.66,16.67
25,1,1.68,19.9,56.3,5.0,2.9,6.3,5.3,5.8,7428,3,50,5.7,3.5,63.9,25.5,6.2,1.9,1.92,7.6,60.0,50.64,71.11
59,0,1.58,22.2,55.4,5.8,3.0,6.1,6.8,7.5,7963,3,55,9.4,0.5,104.0,42.2,2.3,2.1,2.46,4.3,60.0,83.24,93.33
34,1,1.71,20.8,60.8,5.6,2.6,8.1,3.4,3.7,7801,3,53,5.7,3.5,69.0,25.5,2.2,2.0,3.29,0.5,60.0,73.0,43.33
64,1,1.73,22.2,66.6,6.0,2.9,6.3,3.1,3.4,6046,3,37,5.6,3.5,75.1,25.4,3.4,1.4,2.12,6.2,60.0,99.84,42.22
56,1,1.7,25.9,74.7,6.3,3.0,6.1,7.1,7.8,8731,3,62,3.9,4.9,58.0,17.5,3.3,2.3,1.34,2.6,60.0,66.26,64.44
41,0,1.7,23.9,69.1,6.5,3.6,7.2,2.9,3.2,8837,3,63,8.9,0.9,123.1,40.1,7.4,2.4,1.49,0.1,60.0,80.76,40.0
59,0,1.58,31.6,79.0,3.9,2.8,7.0,6.4,7.0,7694,3,52,7.7,1.9,121.2,34.5,1.7,2.0,0.89,0.0,60.0,40.3,88.89
49,1,1.77,28.0,87.6,5.3,2.7,7.3,2.2,2.4,9018,3,64,8.8,0.9,154.5,39.7,2.4,2.4,2.67,0.0,60.0,77.42,15.56
49,1,1.74,22.5,68.1,5.0,2.7,7.5,2.4,2.6,6526,3,41,10.0,0.0,136.2,45.0,5.1,1.6,2.65,7.7,60.0,71.78,57.78
49,1,1.7,23.5,67.8,6.1,3.7,6.6,7.6,8.4,9733,3,71,9.4,0.5,127.7,42.4,5.4,2.7,3.18,0.4,60.0,100.0,90.0
48,1,1.68,22.4,63.2,5.0,2.7,7.5,7.8,8.6,7711,3,52,6.8,2.6,86.0,30.6,1.8,2.0,2.26,0.0,60.0,68.66,88.89
47,0,1.79,24.6,78.9,6.0,3.4,7.8,2.1,2.3,9893,4,72,2.3,6.1,40.0,10.4,1.1,2.7,1.7,3.4,0.0,19.29,8.89
22,1,1.64,21.7,58.3,4.2,3.0,6.1,6.8,7.5,6571,3,42,6.3,3.0,73.6,28.4,1.0,1.6,2.12,0.5,60.0,72.1,60.0
53,1,1.72,24.2,71.7,5.9,2.6,7.8,5.6,6.2,8498,3,59,8.0,1.6,115.0,36.1,1.0,2.2,1.45,0.3,60.0,72.09,44.44
33,1,1.65,21.3,58.1,6.1,2.7,7.3,3.6,4.0,9129,3,65,5.5,3.6,64.4,24.9,1.1,2.5,1.7,4.3,60.0,85.71,11.11
62,1,1.82,22.2,73.4,5.9,2.8,7.1,4.1,4.5,9380,3,68,6.7,2.6,98.6,30.2,5.0,2.6,1.86,6.7,60.0,75.67,24.44
25,0,1.68,21.2,59.8,5.7,2.8,6.8,2.9,3.2,5318,3,30,4.7,4.3,55.6,20.9,1.9,1.1,2.36,2.8,60.0,78.76,1.11
55,1,1.65,27.6,75.3,4.0,2.8,6.9,6.6,7.3,8617,3,61,5.2,3.9,77.6,23.2,1.4,2.3,2.98,2.3,60.0,43.3,31.11
20,1,1.74,23.4,70.8,5.9,2.9,6.3,4.2,4.6,8753,3,62,4.0,4.8,57.3,18.2,5.0,2.3,2.73,4.7,60.0,30.26,22.22
58,1,1.72,29.4,87.0,4.6,2.7,7.6,4.5,5.0,10688,4,80,4.9,4.1,85.5,22.1,1.4,3.0,1.45,0.0,60.0,89.66,38.89
37,0,1.58,22.2,55.3,5.2,2.6,7.8,3.3,3.6,5815,3,35,8.2,1.4,91.2,37.1,1.8,1.3,3.54,0.0,60.0,99.84,38.89
60,0,1.67,19.9,55.5,5.8,2.7,7.3,2.1,2.3,6785,3,44,6.8,2.6,75.4,30.6,2.9,1.7,3.47,4.5,60.0,68.86,40.0
20,0,1.65,19.8,53.9,5.9,2.8,7.2,3.7,4.1,8913,3,63,3.6,5.1,40.0,16.3,1.0,2.4,0.9,10.0,60.0,35.49,17.78
33,0,1.64,24.9,67.0,4.9,2.8,7.0,5.5,6.1,7441,3,50,4.1,4.7,54.7,18.4,4.9,1.9,1.71,8.2,60.0,50.28,98.89
64,1,1.7,28.4,82.0,5.1,2.8,7.0,7.5,8.2,7275,3,48,9.3,0.6,152.3,41.8,5.5,1.8,2.86,3.1,60.0,55.15,35.56
31,1,1.73,25.2,75.5,6.4,3.5,7.5,7.1,7.8,7567,3,51,7.5,2.0,113.3,33.8,5.6,1.9,2.88,0.8,60.0,100.0,33.33
55,0,1.64,26.5,71.3,4.3,2.9,6.5,5.9,6.5,8776,3,62,3.3,5.4,46.7,14.7,6.2,2.3,3.22,1.9,60.0,54.11,77.78
34,1,1.7,26.7,77.2,5.9,2.6,7.9,4.5,5.0,8773,3,62,9.1,0.7,140.2,40.8,3.0,2.3,3.61,8.4,60.0,82.99,41.11
44,1,1.66,25.6,70.5,5.9,3.5,7.5,5.7,6.3,7546,3,51,9.9,0.1,139.0,44.4,7.4,1.9,1.55,0.0,60.0,100.0,28.89
44,1,1.82,21.9,72.4,6.3,3.7,6.4,7.8,8.6,6810,3,44,6.4,2.9,92.3,28.7,1.9,1.7,2.85,0.0,60.0,100.0,31.11
63,1,1.63,23.1,61.5,5.2,3.0,6.0,3.8,4.2,7240,3,48,5.8,3.3,71.8,26.3,2.2,1.8,3.92,10.0,60.0,42.61,7.78
38,1,1.73,21.7,64.8,3.2,2.9,6.5,3.2,3.5,6370,3,40,8.8,1.0,113.5,39.4,4.0,1.5,1.9,0.7,60.0,99.85,62.22
42,1,1.68,27.1,76.4,6.1,3.5,7.5,3.9,4.3,6377,3,40,8.4,1.3,127.7,37.6,4.2,1.5,2.94,1.2,60.0,100.0,34.44
34,0,1.74,23.6,71.4,6.1,2.7,7.6,3.8,4.2,7326,3,49,9.7,0.2,138.4,43.6,6.4,1.8,3.44,5.3,60.0,86.05,21.11
49,0,1.56,28.2,68.7,5.8,2.6,8.0,4.7,5.2,7458,3,50,5.9,3.3,80.5,26.4,3.6,1.9,3.39,0.0,60.0,100.0,57.78
20,1,1.65,21.6,58.9,5.8,2.9,6.7,7.3,8.0,9264,3,67,6.7,2.7,78.6,30.0,3.8,2.5,2.19,0.0,60.0,85.64,5.56
43,0,1.55,23.3,56.1,5.5,3.7,6.7,5.9,6.5,6959,3,45,10.0,0.0,112.2,45.0,7.3,1.7,2.26,0.0,60.0,100.0,34.44
58,1,1.72,25.5,75.4,5.6,2.8,7.1,8.0,8.8,8915,3,63,8.0,1.6,121.1,36.1,4.8,2.4,2.07,0.0,60.0,87.49,62.22
60,1,1.6,20.4,52.2,5.6,3.4,8.1,5.5,6.1,6568,3,42,4.6,4.3,48.4,20.9,7.7,1.6,2.56,4.2,60.0,65.33,72.22
28,0,1.59,20.9,52.8,5.9,3.0,6.0,2.6,2.9,7643,3,52,6.0,3.2,63.2,26.9,3.3,2.0,2.73,0.0,60.0,72.18,87.78
29,1,1.55,22.8,54.7,4.1,2.6,7.8,7.1,7.8,7373,3,49,7.0,2.4,76.9,31.6,7.4,1.9,1.48,1.9,60.0,76.54,52.22
34,1,1.72,22.0,65.1,5.0,2.8,6.9,5.5,6.1,9849,4,72,5.5,3.6,71.6,24.7,5.4,2.7,2.33,4.0,60.0,32.13,51.11
60,1,1.66,23.1,63.8,5.8,2.9,6.3,2.9,3.2,9765,3,71,9.1,0.7,116.6,41.1,6.5,2.7,3.37,8.2,60.0,77.22,48.89
52,0,1.52,21.8,50.4,5.5,3.1,5.7,5.3,5.8,8915,3,63,9.1,0.7,91.7,40.9,7.4,2.4,1.78,0.0,60.0,77.9,4.44
53,1,1.78,23.3,73.8,6.5,3.7,6.7,3.5,3.9,8055,3,55,6.2,3.0,91.8,28.0,6.6,2.1,2.05,0.0,60.0,51.69,38.89
30,0,1.53,27.0,63.1,6.2,2.8,7.1,7.4,8.1,9019,3,64,5.1,3.9,64.8,23.1,2.2,2.4,3.06,2.3,60.0,59.41,21.11
34,1,1.76,24.9,77.1,6.4,2.8,6.8,2.0,2.2,9037,3,64,7.4,2.0,114.9,33.5,3.8,2.4,2.77,8.8,60.0,81.85,10.0
18,1,1.65,21.9,59.6,5.8,3.0,6.2,7.6,8.4,8251,3,57,8.1,1.5,97.1,36.6,7.6,2.2,2.93,0.0,60.0,62.99,36.67
54,0,1.73,22.8,68.1,3.3,2.6,7.9,3.4,3.7,8797,3,62,7.8,1.7,106.8,35.3,1.5,2.4,3.17,5.8,60.0,72.41,80.0
39,1,1.75,23.6,72.3,6.0,3.5,7.7,7.6,8.4,8441,3,59,9.6,0.3,138.8,43.2,6.7,2.2,3.67,1.3,60.0,100.0,14.44
41,1,1.63,21.6,57.5,6.2,3.0,6.2,4.1,4.5,8804,3,62,6.0,3.2,69.0,27.0,3.8,2.4,2.7,2.0,60.0,78.87,22.22
64,1,1.64,27.6,74.3,6.0,3.8,5.9,7.7,8.5,8526,3,60,8.5,1.2,127.0,38.5,1.6,2.3,3.79,4.9,55.4,64.82,51.11
61,1,1.74,18.0,54.5,5.8,3.5,7.5,2.3,2.5,10913,4,82,6.7,2.6,73.1,30.2,7.5,3.1,2.16,2.0,60.0,96.77,26.67
39,0,1.6,27.3,69.8,5.0,2.8,7.1,2.2,2.4,8812,3,62,4.0,4.8,56.3,18.1,3.2,2.4,2.44,2.0,60.0,44.87,14.44
43,1,1.69,23.1,65.8,5.5,2.8,6.9,3.0,3.3,7717,3,52,7.5,2.0,98.5,33.7,4.1,2.0,2.23,2.7,60.0,92.86,61.11
21,1,1.79,29.8,95.5,5.3,2.9,6.6,5.3,5.8,6081,3,37,6.1,3.1,116.2,27.4,6.9,1.4,1.69,0.0,8.3,31.21,67.78
30,1,1.65,21.5,58.5,5.6,3.4,7.8,5.7,6.3,8030,3,55,9.2,0.6,108.2,41.6,2.8,2.1,3.29,1.1,60.0,83.36,12.22
64,0,1.63,23.3,62.0,5.8,3.4,7.8,5.0,5.5,8359,3,58,5.5,3.6,68.3,24.8,7.8,2.2,3.42,4.4,60.0,100.0,11.11
44,1,1.77,23.1,72.2,6.4,3.8,6.0,3.8,4.2,6860,3,44,3.9,4.9,56.6,17.6,2.8,1.7,3.53,0.0,60.0,100.0,65.56
51,0,1.68,27.2,76.9,5.8,3.0,5.9,7.4,8.1,7633,3,51,5.6,3.5,86.3,25.2,3.8,1.9,2.99,10.0,0.0,31.44,33.33
27,1,1.69,28.8,82.4,4.3,3.0,5.8,5.2,5.7,7764,3,53,8.9,0.9,146.7,40.0,2.4,2.0,1.41,0.9,0.0,39.23,42.22
51,1,1.68,19.2,54.2,4.8,2.8,7.1,3.4,3.7,6026,3,37,5.1,3.9,55.6,23.1,6.2,1.4,2.62,2.1,60.0,50.58,5.56
44,1,1.58,25.9,64.6,4.8,2.9,6.3,6.0,6.6,9185,3,66,10.0,0.0,129.2,45.0,5.5,2.5,2.56,0.0,60.0,87.68,68.89
48,1,1.63,23.0,61.2,5.8,2.8,7.2,6.6,7.3,8860,3,63,4.9,4.1,60.4,22.2,4.0,2.4,1.84,3.0,0.0,33.78,0.0
45,1,1.72,24.1,71.4,4.7,2.8,7.2,7.5,8.2,7799,3,53,7.6,1.9,108.1,34.1,5.8,2.0,2.54,5.9,60.0,73.31,37.78
33,1,1.69,22.1,63.2,5.5,2.6,8.0,2.4,2.6,8047,3,55,3.9,4.9,49.6,17.7,1.3,2.1,2.77,4.2,60.0,60.51,54.44
25,0,1.63,24.4,64.9,6.1,2.9,6.3,7.7,8.5,8487,3,59,8.1,1.5,105.2,36.5,3.1,2.2,3.73,0.0,60.0,100.0,73.33
50,0,1.69,26.1,74.6,5.2,3.0,5.8,2.9,3.2,7955,3,54,6.9,2.5,103.1,31.1,6.5,2.1,1.95,0.0,60.0,76.11,40.0
34,0,1.54,23.1,54.8,5.0,2.8,7.0,4.9,5.4,8702,3,61,4.8,4.2,52.1,21.4,5.3,2.3,1.8,0.0,60.0,70.81,84.44
21,1,1.68,19.5,54.9,5.5,2.6,8.1,2.7,3.0,7866,3,54,7.9,1.7,87.1,35.7,5.0,2.0,3.11,2.2,60.0,78.15,83.33
40,1,1.71,25.6,74.7,5.8,3.6,6.9,2.7,3.0,7017,3,46,4.3,4.5,64.8,19.5,7.6,1.7,4.0,8.2,60.0,53.34,36.67
24,0,1.57,21.7,53.5,4.8,3.4,7.8,7.4,8.1,11257,4,85,3.3,5.4,40.0,14.7,4.4,3.2,2.53,0.0,60.0,55.54,37.78
21,1,1.8,21.7,70.2,5.0,3.0,6.0,5.5,6.1,8419,3,59,5.9,3.2,83.4,26.7,3.4,2.2,2.93,1.6,60.0,100.0,21.11
49,0,1.68,18.0,50.8,6.2,3.0,6.2,6.0,6.6,7700,3,52,4.1,4.7,41.4,18.3,2.4,2.0,2.64,2.9,60.0,63.82,15.56
58,1,1.72,24.1,71.2,7.5,4.7,1.5,4.0,4.4,10908,4,82,4.2,4.6,60.3,19.1,3.5,3.1,0.5,0.0,60.0,87.14,42.22
30,1,1.83,25.5,85.3,7.0,3.7,2.7,3.7,4.1,9906,4,72,10.0,0.0,170.6,45.0,1.0,2.7,2.09,5.2,60.0,100.0,76.67
35,1,1.6,23.6,60.4,8.4,4.6,1.9,5.1,5.6,11628,4,88,6.2,3.0,74.8,27.9,1.7,3.3,3.33,4.3,59.5,73.78,2.22
36,0,1.62,18.0,47.2,6.8,4.7,1.5,6.7,7.4,11040,4,83,5.2,3.8,49.0,23.4,2.6,3.1,1.37,4.1,60.0,100.0,41.11
26,0,1.65,22.2,60.3,7.1,4.4,2.9,3.2,3.5,10239,4,76,5.4,3.7,65.0,24.3,4.3,2.9,2.01,4.1,60.0,100.0,26.67
61,0,1.56,23.3,56.7,6.7,4.7,1.5,4.0,4.4,10386,4,77,4.1,4.7,46.7,18.5,5.5,2.9,3.74,9.2,60.0,100.0,57.78
38,1,1.72,30.0,88.8,6.5,4.5,2.7,3.7,4.1,9240,4,66,8.0,1.6,141.9,36.0,2.4,2.5,3.62,4.9,60.0,87.12,83.33
20,0,1.54,21.7,51.4,6.4,4.5,2.7,5.2,5.7,13479,5,105,8.7,1.1,89.0,38.9,6.3,4.0,3.01,2.3,60.0,100.0,15.56
34,0,1.67,22.5,62.9,5.8,3.6,2.8,6.3,6.9,14120,5,111,7.9,1.7,99.5,35.6,4.6,4.2,1.65,0.0,0.0,70.75,41.11
18,1,1.77,24.1,75.6,6.6,3.9,1.7,4.7,5.2,11671,4,89,8.9,0.9,134.6,40.1,1.0,3.3,3.17,5.5,60.0,88.34,96.67
34,1,1.72,22.2,65.8,7.5,4.3,3.4,5.1,5.6,12422,5,96,4.7,4.2,62.1,21.2,2.7,3.6,1.88,4.5,17.7,52.83,82.22
51,0,1.5,23.1,52.1,7.5,4.4,3.0,6.3,6.9,12793,5,99,7.0,2.4,72.9,31.5,2.6,3.7,2.01,3.1,60.0,95.01,57.78
25,1,1.63,20.9,55.6,7.6,4.4,3.0,2.7,3.0,12111,4,93,7.4,2.1,81.9,33.1,6.7,3.5,3.02,1.1,8.4,79.47,25.56
40,0,1.66,21.8,60.1,6.5,3.6,3.2,4.7,5.2,11026,4,83,7.0,2.4,83.8,31.4,3.7,3.1,2.33,7.0,60.0,80.27,18.89
38,0,1.62,24.1,63.2,6.4,3.7,2.3,6.7,7.4,11314,4,85,6.7,2.6,85.0,30.3,5.4,3.2,2.53,0.0,0.0,71.36,3.33
33,1,1.51,27.0,61.7,6.8,4.4,3.2,6.2,6.8,13076,5,102,8.2,1.4,101.1,36.9,7.6,3.8,2.38,2.5,60.0,73.51,51.11
24,0,1.71,22.1,64.6,6.4,4.4,3.2,7.9,8.7,12260,4,94,5.9,3.3,76.1,26.5,2.0,3.6,1.55,4.9,60.0,100.0,33.33
31,1,1.71,25.0,73.0,6.4,4.5,2.7,3.9,4.3,12554,5,97,4.1,4.7,59.9,18.4,6.0,3.7,2.45,10.0,60.0,84.01,41.11
38,0,1.56,23.8,58.0,6.9,4.4,3.0,3.7,4.1,13168,5,103,6.5,2.8,75.9,29.4,7.4,3.9,2.17,0.0,60.0,96.64,11.11
62,0,1.69,22.8,65.0,7.4,4.4,2.8,4.1,4.5,10170,4,75,6.9,2.5,89.1,30.8,2.1,2.8,2.8,2.4,60.0,100.0,18.89
28,0,1.57,20.8,51.3,6.0,3.9,1.7,2.3,2.5,12573,5,97,8.1,1.5,83.2,36.5,5.0,3.7,3.12,5.7,60.0,100.0,10.0
62,1,1.65,22.9,62.3,8.1,4.6,2.1,2.2,2.4,10202,4,75,7.5,2.0,93.6,33.8,1.9,2.8,1.14,0.0,60.0,81.54,70.0
42,0,1.65,22.4,61.0,6.9,4.4,2.9,3.7,4.1,9428,4,68,10.0,0.0,121.8,44.9,6.7,2.6,2.5,6.5,60.0,94.89,71.11
41,1,1.82,24.3,80.5,7.9,4.4,2.8,6.7,7.4,10782,4,81,8.2,1.5,131.6,36.8,1.0,3.0,3.86,3.2,60.0,93.87,22.22
42,1,1.81,26.7,87.6,7.1,4.5,2.3,3.8,4.2,12141,4,93,5.8,3.4,101.0,25.9,3.7,3.5,2.59,5.0,60.0,100.0,4.44
18,1,1.73,20.0,59.7,6.6,3.8,1.9,2.1,2.3,10263,4,76,9.3,0.6,110.6,41.7,3.8,2.9,2.33,1.4,60.0,100.0,98.89
25,0,1.65,25.2,68.6,7.6,4.5,2.4,3.2,3.5,12520,5,97,6.0,3.2,82.6,27.1,2.1,3.6,1.62,0.7,60.0,100.0,93.33
23,1,1.76,18.0,55.8,9.2,4.5,2.3,4.6,5.1,9799,4,71,4.9,4.1,54.5,22.0,3.3,2.7,1.99,1.3,60.0,78.06,4.44
44,0,1.53,25.3,59.3,7.2,4.6,2.2,5.9,6.5,10099,4,74,1.5,6.8,40.0,6.7,6.5,2.8,3.26,5.1,60.0,77.95,11.11
52,0,1.67,24.0,66.9,9.3,4.5,2.7,2.4,2.6,11481,4,87,6.8,2.5,91.6,30.8,4.1,3.3,3.21,4.2,60.0,67.87,74.44
56,1,1.65,31.3,85.2,7.1,4.4,3.0,7.7,8.5,12457,5,96,9.2,0.6,157.1,41.5,1.0,3.6,1.7,1.4,60.0,100.0,85.56
63,1,1.72,23.0,68.1,6.7,3.6,3.1,5.6,6.2,11295,4,85,3.2,5.4,43.7,14.4,5.4,3.2,1.55,10.0,60.0,97.59,5.56
42,0,1.6,22.4,57.3,6.7,4.3,3.3,6.0,6.6,11577,4,88,9.5,0.4,108.5,42.6,2.8,3.3,2.43,4.4,60.0,100.0,50.0
37,0,1.66,19.2,52.8,7.2,4.7,1.5,3.4,3.7,10639,4,79,10.0,0.0,105.1,44.8,5.8,3.0,3.14,0.0,60.0,100.0,30.0
38,1,1.71,25.3,74.1,8.1,4.4,2.9,2.5,2.8,10155,4,75,8.6,1.1,127.9,38.8,5.9,2.8,3.19,6.4,0.0,67.37,40.0
44,1,1.5,25.7,57.8,7.1,4.4,2.9,7.8,8.6,12298,4,95,6.4,2.9,74.3,28.9,4.9,3.6,1.84,2.8,47.2,59.34,16.67
19,1,1.71,24.4,71.4,6.8,4.5,2.5,2.4,2.6,9689,4,70,6.9,2.5,98.1,30.9,2.2,2.7,0.9,0.0,60.0,100.0,80.0
41,1,1.74,24.5,74.2,5.8,3.7,2.6,4.0,4.4,10071,4,74,10.0,0.0,148.4,45.0,5.3,2.8,2.37,1.9,60.0,100.0,98.89
40,0,1.65,22.7,61.7,7.2,4.6,1.8,2.5,2.8,9948,4,73,7.9,1.7,97.0,35.4,5.2,2.8,3.56,6.0,60.0,93.7,61.11
39,1,1.69,18.0,51.4,7.0,3.8,2.2,2.8,3.1,11277,4,85,6.0,3.2,61.8,27.0,7.8,3.2,1.48,7.0,60.0,97.52,12.22
38,1,1.81,22.9,74.9,5.6,3.6,3.1,2.6,2.9,14245,5,113,5.9,3.3,88.4,26.6,3.8,4.2,2.32,8.2,60.0,100.0,14.44
19,0,1.64,26.0,70.0,6.3,3.6,3.1,2.4,2.6,13029,5,101,4.4,4.5,61.8,19.9,6.8,3.8,3.53,1.4,60.0,100.0,64.44
62,0,1.65,27.7,75.3,6.9,4.4,2.8,5.8,6.4,13586,5,106,5.7,3.4,85.7,25.6,1.9,4.0,2.23,4.8,60.0,88.06,56.67
26,1,1.77,24.0,75.3,8.0,4.5,2.5,4.0,4.4,11259,4,85,10.0,0.0,150.6,45.0,5.7,3.2,1.41,6.1,60.0,100.0,56.67
61,1,1.73,27.0,80.8,6.7,4.4,2.8,2.1,2.3,9886,4,72,7.5,2.0,121.1,33.7,7.0,2.7,3.64,0.0,35.3,64.87,22.22
39,0,1.56,31.4,76.5,6.9,4.5,2.6,5.4,5.9,11464,4,87,5.3,3.8,81.1,23.9,0.9,3.3,2.93,1.8,60.0,91.51,72.22
20,1,1.53,23.7,55.5,7.6,4.4,3.0,5.2,5.7,14208,5,112,7.4,2.1,81.7,33.1,1.2,4.2,2.98,0.0,60.0,89.09,28.89
44,1,1.67,23.3,64.9,7.4,4.4,2.9,4.7,5.2,11421,4,86,9.5,0.4,122.9,42.6,1.4,3.3,1.66,0.9,60.0,100.0,62.22
22,1,1.75,22.9,70.0,7.4,4.4,2.8,4.4,4.8,10370,4,77,5.5,3.6,76.9,24.7,3.3,2.9,2.32,10.0,60.0,77.32,41.11
33,0,1.6,24.9,63.9,7.2,4.5,2.5,3.7,4.1,9634,4,70,6.5,2.8,82.9,29.2,6.1,2.6,1.36,0.0,60.0,54.51,94.44
19,1,1.76,21.2,65.6,6.3,3.6,3.1,2.7,3.0,11599,4,88,10.0,0.0,131.2,45.0,2.2,3.3,1.82,1.5,60.0,81.13,73.33
58,0,1.63,22.8,60.5,6.0,3.6,3.0,5.6,6.2,11024,4,83,9.6,0.3,116.6,43.3,2.8,3.1,2.71,3.6,60.0,95.07,56.67
49,0,1.71,23.6,68.9,7.6,4.5,2.7,7.9,8.7,9209,4,66,8.1,1.5,111.7,36.5,7.7,2.5,3.06,0.0,60.0,80.49,14.44
51,0,1.6,29.2,74.9,6.7,4.4,2.9,5.1,5.6,9624,4,70,6.0,3.2,90.1,27.1,7.8,2.6,2.21,0.0,60.0,83.35,44.44
58,0,1.65,27.9,76.1,8.2,4.4,3.0,6.9,7.6,10605,4,79,4.8,4.1,73.7,21.8,4.5,3.0,3.04,6.1,0.0,42.84,70.0
53,0,1.66,22.4,61.8,7.2,4.3,3.5,6.8,7.5,14138,5,112,8.1,1.5,100.4,36.6,1.1,4.2,1.62,3.1,60.0,100.0,17.78
54,1,1.81,25.7,84.1,6.3,3.6,3.0,4.8,5.3,9965,4,73,9.0,0.8,152.0,40.7,1.6,2.8,0.96,3.2,0.0,65.18,67.78
39,1,1.58,28.8,72.0,6.8,4.4,2.8,6.3,6.9,9192,4,66,2.7,5.8,40.0,12.1,6.4,2.5,2.85,2.6,60.0,47.41,3.33
57,0,1.59,24.9,62.9,7.8,4.5,2.6,5.8,6.4,10443,4,77,5.6,3.5,70.5,25.2,5.0,2.9,2.24,2.1,60.0,65.84,41.11
58,0,1.68,27.9,78.7,8.5,4.6,1.8,3.3,3.6,12106,4,93,7.0,2.4,110.5,31.6,7.6,3.5,2.95,6.2,60.0,74.13,24.44
30,1,1.81,33.9,111.0,7.6,4.6,1.8,4.5,5.0,11383,4,86,8.6,1.2,190.0,38.5,2.0,3.2,3.11,2.5,60.0,99.44,50.0
27,1,1.72,29.0,85.8,6.9,4.4,3.2,7.4,8.1,11158,4,84,6.9,2.5,117.7,30.9,2.6,3.2,1.29,10.0,60.0,64.93,94.44
36,1,1.68,23.0,65.0,6.4,3.6,3.1,3.3,3.6,10532,4,78,5.1,3.9,65.9,22.8,7.8,3.0,2.22,7.5,60.0,69.32,31.11
64,1,1.75,23.3,71.5,7.8,4.5,2.3,4.7,5.2,10074,4,74,4.1,4.7,58.5,18.4,6.1,2.8,2.14,0.0,60.0,59.14,14.44
27,1,1.76,22.5,69.7,6.2,3.6,2.9,7.7,8.5,10017,4,74,6.8,2.6,94.7,30.6,6.6,2.8,2.6,5.1,60.0,76.45,55.56
37,1,1.67,18.0,50.2,6.3,4.5,2.4,4.2,4.6,11060,4,83,6.8,2.6,68.3,30.6,5.5,3.1,2.33,0.0,60.0,100.0,17.78
25,1,1.72,22.1,65.5,6.7,3.9,1.7,4.3,4.7,12094,4,93,6.1,3.1,80.5,27.7,4.7,3.5,2.35,0.1,60.0,94.14,34.44
30,1,1.78,28.8,91.1,7.4,4.4,2.9,8.0,8.8,11463,4,87,4.7,4.2,85.4,21.1,7.8,3.3,2.3,8.0,60.0,59.96,17.78
59,1,1.83,19.6,65.7,7.8,4.5,2.7,4.3,4.7,12670,5,98,6.4,2.9,84.5,28.9,6.6,3.7,4.0,0.4,60.0,79.33,33.33
48,1,1.75,25.6,78.5,7.5,4.6,2.2,3.2,3.5,10217,4,75,8.1,1.5,127.6,36.6,1.4,2.8,1.35,0.0,42.5,67.95,35.56
49,1,1.7,18.0,52.0,6.9,4.6,1.8,7.0,7.7,10335,4,76,6.2,3.1,64.3,27.8,2.4,2.9,2.38,2.7,60.0,65.41,78.89
28,0,1.62,20.8,54.6,7.7,3.5,3.4,3.6,4.0,14896,5,119,10.0,0.0,109.2,45.0,7.1,4.5,0.94,4.1,41.3,82.58,21.11
30,1,1.74,21.5,65.1,6.6,4.5,2.6,3.9,4.3,13245,5,103,6.7,2.6,87.7,30.3,5.4,3.9,2.45,3.3,60.0,100.0,83.33
42,1,1.69,26.2,74.9,6.7,3.7,2.6,5.0,5.5,13299,5,104,7.9,1.7,118.0,35.5,1.5,3.9,3.88,0.0,60.0,100.0,57.78
22,0,1.63,22.5,59.9,7.6,4.5,2.7,7.2,7.9,10588,4,79,6.4,2.8,77.2,29.0,1.3,3.0,3.77,10.0,60.0,92.97,84.44
39,1,1.63,21.3,56.5,8.1,4.6,2.1,6.2,6.8,9836,4,72,6.1,3.1,69.5,27.7,4.1,2.7,2.0,3.8,60.0,97.97,16.67
